Tema;Keyword;Site;Categoria;Ancora 1;URL do Link 1;Dofollow_link_1;Ancora 2;URL do Link 2;Dofollow_link_2;Ancora 3;URL do Link 3;Dofollow_link_3;Imagem;Insere Imagem no Post;Link Interno;Programacao de Postagem;URL da Publicação;Nota de SEO;Dominio;Gdrive;Video
O que é mirmecofobia? ;mirmecofobia;;;mirmecofobia;https://educonse.com.br/mirmecofobia-fobia-de-formigas-sintomas-e-tratamento/;Sim;;;;;;;;Sim;Não;-1;;;https://ggrf.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que são neurônios piramidais?;neurônios piramidais;;;neurônios piramidais;https://educonse.com.br/neuronios-piramidais-funcoes-e-localizacao-no-cerebro/;Sim;;;;;;;;Sim;Não;-1;;;https://huffpost.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é toxicofobia? ;toxicofobia;;;toxicofobia;https://educonse.com.br/toxicofobia-medo-de-envenenamento-sintomas-causas-e-tratamento/;Sim;;;;;;;;Sim;Não;-1;;;https://jlins.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que são tiques nervosos?;tiques nervosos;;;tiques nervosos;https://educonse.com.br/tiques-nervosos-tipos-sintomas-causas-e-tratamentos/;Sim;;;;;;;;Sim;Não;-1;;;https://nyxcomunicacoes.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é transtorno de identidade;transtorno de identidade;;;transtorno de identidade;https://educonse.com.br/transtorno-de-identidade-de-integridade-corporal-sintomas-causas-e-tratamento/;Sim;;;;;;;;Sim;Não;-1;;;https://pernambucopapeis.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é estriado?;estriado;;;estriado;https://educonse.com.br/estriado-estrutura-funcoes-e-disturbios-associados/;Sim;;;;;;;;Sim;Não;-1;;;https://radvid19.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é a sindrome de edwards?;sindrome de edwards;;;sindrome de edwards;https://educonse.com.br/sindrome-de-edwards-trissomia-18-causas-sintomas-e-tipos/;Sim;;;;;;;;Sim;Não;-1;;;https://seosemmitos.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que e memória de trabalho? ;memória de trabalho;;;memória de trabalho;https://educonse.com.br/memoria-de-trabalho-operacional-componentes-e-funcoes/;Sim;;;;;;;;Sim;Não;-1;;;https://trendszone.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Como identificar se estou com depressao?;depressão;;;depressão;https://educonse.com.br/3-efeitos-surpreendentes-da-depressao/;Sim;;;;;;;;Sim;Não;-365;;;https://usevitae.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é a piramide de maslow?;piramide de maslow;;;piramide de maslow;https://educonse.com.br/como-a-piramide-de-maslow-esta-relacionada-a-nossa-felicidade/;Sim;;;;;;;;Sim;Não;-365;;;https://vaidetenis.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é narcisismo?;narcisismo;;;narcisismo;https://educonse.com.br/como-posso-saber-se-meu-parceiro-e-narcisista-4-bandeiras-vermelhas/;Sim;;;;;;;;Sim;Não;;;;https://vereadornatalini.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é a hipótese do macaco medroso? ;macaco medroso;;;macaco medroso;https://educonse.com.br/a-hipotese-do-macaco-medroso-compreendendo-o-medo/;Sim;;;;;;;;Sim;Não;;;;https://xinguofilme.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é a memória muscular? ;memória muscular;;;memória muscular;https://educonse.com.br/como-treinar-a-memoria-muscular/;Sim;;;;;;;;Sim;Não;;;;https://aaanapolina.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Como evitar o estresse no trabalho?;estresse no trabalho;;;estresse no trabalho;https://educonse.com.br/5-maneiras-de-combater-o-estresse-no-trabalho/;Sim;;;;;;;;Sim;Não;;;;https://abrajof.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Como é o cérebro do adolescente? ;como é o cérebro do adolescente;;;como é o cérebro do adolescente;https://educonse.com.br/como-e-o-cerebro-do-adolescente/;Sim;;;;;;;;Sim;Não;;;;https://affinia.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é autocompaixão?;autocompaixão;;;autocompaixão;https://educonse.com.br/4-razoes-para-cultivar-a-autocompaixao/;Sim;;;;;;;;Sim;Não;;;;https://agenciamana.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Como enfrentar a morte? ;enfrentar a morte;;;enfrentar a morte;https://educonse.com.br/como-enfrentar-a-morte-4-chaves-para-ter-em-mente/;Sim;;;;;;;;Sim;Não;;;;https://bandagentileza.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Existe suicídio em animais?;suicídio em animais;;;suicídio em animais;https://educonse.com.br/existe-suicidio-em-animais/;Sim;;;;;;;;Sim;Não;;;;https://bonusesfera.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é abuso sexual e como identificar na familia?;abuso sexual dentro da familia;;;abuso sexual dentro da familia;https://educonse.com.br/abuso-sexual-dentro-da-familia/;Sim;;;;;;;;Sim;Não;;;;https://boutiquedofeltro.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que são mutismo emocional?;mutismo emocional;;;mutismo emocional;https://educonse.com.br/mutismo-emocional-o-que-e-e-quais-sao-seus-sintomas/;Sim;;;;;;;;Sim;Não;-365;;;https://cercfit.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Qual a diferença entre comportamento obsessivo compulsivo e manias?;diferença entre comportamento obsessivo compulsivo e mania;;;diferença entre comportamento obsessivo compulsivo e mania;https://educonse.com.br/5-diferencas-entre-comportamentos-obsessivo-compulsivos-e-manias/;Sim;;;;;;;;Sim;Não;-365;;;https://chicobruno.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que e a depressao de alto funcionamento?;depressao de alto funcionamento;;;depressao de alto funcionamento;https://educonse.com.br/depressao-de-alto-funcionamento-o-que-e-e-quais-sao-seus-5-sinais/;Sim;;;;;;;;Sim;Não;1;;;https://conselhosdoheman.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Quais são os tipos de toc que existem?;tipos de toc que existem;;;tipos de toc que existem;https://educonse.com.br/que-tipos-de-toc-existem-e-como-podem-ser-superados-um-guia-pratico/;Sim;;;;;;;;Sim;Não;1;;;https://crimecongress2010.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é o transtorno de personalidade borderline?;transtorno de personalidade borderline;;;transtorno de personalidade borderline;https://educonse.com.br/armadilhas-vitais-do-transtorno-de-personalidade-borderline-o-que-sao/;Sim;;;;;;;;Sim;Não;1;;;https://crmwebcloud.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Como evitar a depressão se você mora no exterior? ;depressao morando no exterior;;;depressao morando no exterior;https://educonse.com.br/tenho-depressao-morando-no-exterior-o-que-fazer/;Sim;;;;;;;;Sim;Não;1;;;https://dietaparaemagrecer.wiki.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Quais os transtornos de ansiedade mais comuns?;transtornos de ansiedade mais comuns;;;transtornos de ansiedade mais comuns;https://educonse.com.br/os-5-transtornos-de-ansiedade-mais-comuns-na-idade-adulta/;Sim;;;;;;;;Sim;Não;1;;;https://edukyou.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Quando ocorre a automutilação em adolescentes?;automutilação em adolescentes;;;automutilação em adolescentes;https://educonse.com.br/automutilacao-em-adolescentes-quais-sao-as-consequencias-sociais/;Sim;;;;;;;;Sim;Não;1;;;https://elojo.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Quais os tipos de pressão social?;tipos de pressão social;;;tipos de pressão social;https://educonse.com.br/os-8-tipos-de-pressao-social-como-nos-afetam/;Sim;;;;;;;;Sim;Não;1;;;https://emdiv.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que são pensamentos obsessivos?;pensamento obsessivo;;;pensamento obsessivo;https://educonse.com.br/pensamentos-obsessivos-por-que-aparecem-e-como-combate-los/;Sim;;;;;;;;Sim;Não;1;;;https://fazersitecompracoletiva.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é brontofobia e quais sintomas?;sintomas brontofobia;;;sintomas brontofobia;https://educonse.com.br/brontofobia-sintomas-causas-e-tratamento/;Sim;;;;;;;;Sim;Não;2;;;https://gerenciandoblog.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que fazer com quem tem fobia de formigas? ;fobia de formigas;;;fobia de formigas;https://educonse.com.br/mirmecofobia-fobia-de-formigas-sintomas-e-tratamento/;Sim;;;;;;;;Sim;Não;2;;;https://gsvlabs.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Quais as principais funções dos neurônios piramidais?;funções dos neurônios piramidais;;;funções dos neurônios piramidais;https://educonse.com.br/neuronios-piramidais-funcoes-e-localizacao-no-cerebro/;Sim;;;;;;;;Sim;Não;2;;;https://hospedagemdesites.wiki.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Como controlar o medo de envenenamento?;medo de envenenamento;;;medo de envenenamento;https://educonse.com.br/toxicofobia-medo-de-envenenamento-sintomas-causas-e-tratamento/;Sim;;;;;;;;Sim;Não;2;;;https://lk6web.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que são tiques nervosos?;tique nervoso;;;tique nervoso;https://educonse.com.br/tiques-nervosos-tipos-sintomas-causas-e-tratamentos/;Sim;;;;;;;;Sim;Não;2;;;https://mepassaai.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é o transtorno de identidade de integridade?;transtorno de identidade de integridade;;;transtorno de identidade de integridade;https://educonse.com.br/transtorno-de-identidade-de-integridade-corporal-sintomas-causas-e-tratamento/;Sim;;;;;;;;Sim;Não;2;;;https://mestreandroid.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é estriado e qual sua estrutura? ;estriado disturbio;;;estriado disturbio;https://educonse.com.br/estriado-estrutura-funcoes-e-disturbios-associados/;Sim;;;;;;;;Sim;Não;2;;;https://odeiodivida.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
S que é t edwards?;edwards;;;edwards;https://educonse.com.br/sindrome-de-edwards-trissomia-18-causas-sintomas-e-tipos/;Sim;;;;;;;;Sim;Não;2;;;https://oregonscientific.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é a memória de trabalho operacional?;memoria de trabalho operacional;;;memoria de trabalho operacional;https://educonse.com.br/memoria-de-trabalho-operacional-componentes-e-funcoes/;Sim;;;;;;;;Sim;Não;2;;;https://premioportugaltelecom.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Quais os efeitos mais cumuns da depressão?;efeitos da depressao;;;efeitos da depressao;https://educonse.com.br/3-efeitos-surpreendentes-da-depressao/;Sim;;;;;;;;Sim;Não;2;;;https://sapiensolutions.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Qual a relação entre piramide de maslow e a felicidade?;piramide de maslow e a felicidade;;;piramide de maslow e a felicidade;https://educonse.com.br/como-a-piramide-de-maslow-esta-relacionada-a-nossa-felicidade/;Sim;;;;;;;;Sim;Não;3;;;https://sexyit.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é narcisista?;narcisista;;;narcisista;https://educonse.com.br/como-posso-saber-se-meu-parceiro-e-narcisista-4-bandeiras-vermelhas/;Sim;;;;;;;;Sim;Não;3;;;https://sirss.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que e a hipótese do macaco medroso?;hipótese do macaco medroso;;;hipótese do macaco medroso;https://educonse.com.br/a-hipotese-do-macaco-medroso-compreendendo-o-medo/;Sim;;;;;;;;Sim;Não;3;;;https://theatronetsaopaulo.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Como treinar a memória muscular? ;treinar memória muscular;;;treinar memória muscular;https://educonse.com.br/como-treinar-a-memoria-muscular/;Sim;;;;;;;;Sim;Não;3;;;https://tonigarrido.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
5 dicas para combater o estresse;combater o estresse;;;combater o estresse;https://educonse.com.br/5-maneiras-de-combater-o-estresse-no-trabalho/;Sim;;;;;;;;Sim;Não;3;;;https://usesempre.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Como funciona o cérebro do adolescente?;cérebro do adolescente;;;cérebro do adolescente;https://educonse.com.br/como-e-o-cerebro-do-adolescente/;Sim;;;;;;;;Sim;Não;-365;;;https://vocca.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que são auto compaixão?;auto compaixão;;;auto compaixão;https://educonse.com.br/4-razoes-para-cultivar-a-autocompaixao/;Sim;;;;;;;;Sim;Não;3;;;https://wallababie.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
4 dicas para enfrentar a morte de frente;como enfrentar a morte;;;como enfrentar a morte;https://educonse.com.br/como-enfrentar-a-morte-4-chaves-para-ter-em-mente/;Sim;;;;;;;;Sim;Não;-365;;;https://webtrends.net.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Existe suicídio no mundo animal?;existe suicídio em animais;;;existe suicídio em animais;https://educonse.com.br/existe-suicidio-em-animais/;Sim;;;;;;;;Sim;Não;3;;;https://xadrezregional.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Porque acontece a abuso sexual?;abuso sexual;;;abuso sexual;https://educonse.com.br/abuso-sexual-dentro-da-familia/;Sim;;;;;;;;Sim;Não;3;;;https://revista.vocca.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Porque acontece o o que é mutismo emocional?;o que é mutismo emocional;;;o que é mutismo emocional;https://educonse.com.br/mutismo-emocional-o-que-e-e-quais-sao-seus-sintomas/;Sim;;;;;;;;Sim;Não;4;;;https://revista.usevitae.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Porque acontece comportamento obsessivo compulsivo e as manias?;comportamento obsessivo compulsivo e mania;;;comportamento obsessivo compulsivo e mania;https://educonse.com.br/5-diferencas-entre-comportamentos-obsessivo-compulsivos-e-manias/;Sim;;;;;;;;Sim;Não;4;;;https://revista.vaidetenis.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Quais são as características da depressão de alto funcionamento?;depressão de alto funcionamento;;;depressão de alto funcionamento;https://educonse.com.br/depressao-de-alto-funcionamento-o-que-e-e-quais-sao-seus-5-sinais/;Sim;;;;;;;;Sim;Não;4;;;https://marketing.webtrends.net.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Quais são o como superar o toc?;como superar o toc;;;como superar o toc;https://educonse.com.br/que-tipos-de-toc-existem-e-como-podem-ser-superados-um-guia-pratico/;Sim;;;;;;;;Sim;Não;4;;;https://abeme.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é borderline?;borderline;;;borderline;https://educonse.com.br/armadilhas-vitais-do-transtorno-de-personalidade-borderline-o-que-sao/;Sim;;;;;;;;Sim;Não;4;;;https://ablehealthcare.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
4 dicas para evitar depressao morando fora;depressao morando fora;;;depressao morando fora;https://educonse.com.br/tenho-depressao-morando-no-exterior-o-que-fazer/;Sim;;;;;;;;Sim;Não;4;;;https://editorakazua.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é o transtorno de ansiedade?;transtorno de ansiedade;;;transtorno de ansiedade;https://educonse.com.br/os-5-transtornos-de-ansiedade-mais-comuns-na-idade-adulta/;Sim;;;;;;;;Sim;Não;4;;;https://todoscomanota.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é automutilação?;automutilação;;;automutilação;https://educonse.com.br/automutilacao-em-adolescentes-quais-sao-as-consequencias-sociais/;Sim;;;;;;;;Sim;Não;4;;;https://letuce.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é a pressão social?;pressão social;;;pressão social;https://educonse.com.br/os-8-tipos-de-pressao-social-como-nos-afetam/;Sim;;;;;;;;Sim;Não;4;;;https://puraeco.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que são pensamentos obsessivos?;pensamentos obsessivos;;;pensamentos obsessivos;https://educonse.com.br/pensamentos-obsessivos-por-que-aparecem-e-como-combate-los/;Sim;;;;;;;;Sim;Não;4;;;https://tenhaborogodo.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que e brontofobia?;brontofobia;;;brontofobia;https://educonse.com.br/brontofobia-sintomas-causas-e-tratamento/;Sim;;;;;;;;Sim;Não;5;;;https://toyacom.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é mirmecofobia?;mirmecofobia;;;mirmecofobia;https://educonse.com.br/mirmecofobia-fobia-de-formigas-sintomas-e-tratamento/;Sim;;;;;;;;Sim;Não;5;;;https://andareparticipacoes.com.br;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que são neurônios piramidais?;neurônios piramidais;;;neurônios piramidais;https://educonse.com.br/neuronios-piramidais-funcoes-e-localizacao-no-cerebro/;Sim;;;;;;;;Sim;Não;5;;;https://campanhasetembroverde.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é toxicofobia?;toxicofobia;;;toxicofobia;https://educonse.com.br/toxicofobia-medo-de-envenenamento-sintomas-causas-e-tratamento/;Sim;;;;;;;;Sim;Não;-120;;;https://sempaleto.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que são tiques nervosos?;tiques nervosos;;;tiques nervosos;https://educonse.com.br/tiques-nervosos-tipos-sintomas-causas-e-tratamentos/;Sim;;;;;;;;Sim;Não;5;;;https://docslide.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é o transtorno de ansiedade?;transtorno de identidade;;;transtorno de identidade;https://educonse.com.br/transtorno-de-identidade-de-integridade-corporal-sintomas-causas-e-tratamento/;Sim;;;;;;;;Sim;Não;5;;;https://industriahoje.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é estriado?;estriado;;;estriado;https://educonse.com.br/estriado-estrutura-funcoes-e-disturbios-associados/;Sim;;;;;;;;Sim;Não;5;;;https://sbnpe.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Como saber se tenho sindrome de edwards?;sindrome de edwards;;;sindrome de edwards;https://educonse.com.br/sindrome-de-edwards-trissomia-18-causas-sintomas-e-tipos/;Sim;;;;;;;;Sim;Não;5;;;https://oatlanticoweb.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é a memória de trabalho?;memoria de trabalho;;;memoria de trabalho;https://educonse.com.br/memoria-de-trabalho-operacional-componentes-e-funcoes/;Sim;;;;;;;;Sim;Não;5;;;https://dilma13.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Como diagnosticar uma depressão? ;depressão;;;depressão;https://educonse.com.br/3-efeitos-surpreendentes-da-depressao/;Sim;;;;;;;;Sim;Não;5;;;https://centraldancadoventre.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
3 características da piramide de maslow;piramide de maslow;;;piramide de maslow;https://educonse.com.br/como-a-piramide-de-maslow-esta-relacionada-a-nossa-felicidade/;Sim;;;;;;;;Sim;Não;6;;;https://enjoyrio.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é narcisismo?;narcisismo;;;narcisismo;https://educonse.com.br/como-posso-saber-se-meu-parceiro-e-narcisista-4-bandeiras-vermelhas/;Sim;;;;;;;;Sim;Não;6;;;https://masterzconcursos.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Você já ouviu falar do macaco medroso? ;macaco medroso;;;macaco medroso;https://educonse.com.br/a-hipotese-do-macaco-medroso-compreendendo-o-medo/;Sim;;;;;;;;Sim;Não;6;;;https://substantivoplural.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
5 dicas para melhorar a memória muscular;memoria muscular;;;memoria muscular;https://educonse.com.br/como-treinar-a-memoria-muscular/;Sim;;;;;;;;Sim;Não;6;;;https://teatropetragold.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
